rank,participant,C1,C2,C3,C4,C5,C6,C7,score
1,Метод Лаб,20,20,13,15,10,10,7,95
2,Surf,20,19,15,15,8,6,10,93
3,YuSMP Group,20,18,15,15,8,10,6,92
4,Перфоманс Лаб,20,20,15,10,10,5,10,90
5,Лаборатория качества,20,15,14,8,10,9,10,86
6,QA Service Lab,16,16,14,8,10,9,10,83
7,SimbirSoft,17,18,13,12,8,4,10,82
8,Академия качества,18,15,15,10,9,7,7,81
9,Инфосистемы Джет,11,19,15,13,8,3,7,76
10,a1qa,20,12,13,6,10,4,10,75
11,IBS,12,16,13,6,8,4,8,67
12,iFellow,10,14,12,7,9,3,10,65
13,Bell Integrator,8,13,12,6,8,3,7,57
14,ЛАНИТ,8,12,15,6,6,2,6,55
15,Юзтех,8,12,12,6,6,2,4,50
